keyword,score,is_keyword
blood sugar levels,5.408242702913848e-06,1
high blood sugar,8.276813264094059e-06,1
high blood glucose,1.108689949327441e-05,1
diabetes blood sugar,1.6278828495361805e-05,1
blood sugar,1.710435224726681e-05,1
low blood sugar,1.8630130105450437e-05,1
reiki distant healing,1.9069642632881066e-05,0
blood glucose levels,2.030014266923801e-05,1
blood sugar control,2.2485852813067224e-05,1
sugar high blood,2.4830439792282173e-05,1
blood sugar high,2.4830439792282176e-05,1
diabetes high blood,2.545657883732999e-05,1
lower blood sugar,3.355160855048437e-05,1
dinner blood sugar,3.566333117317116e-05,1
ancient healing techniques,3.7034729503161395e-05,0
managing blood sugar,3.870072150088627e-05,1
diabetes eating sugar,4.0964611189701344e-05,1
glucose blood sugar,4.251634222478951e-05,1
system including healing,4.324207826596331e-05,0
high blood pressure,4.3882596766418255e-05,1
control blood sugars,4.497170562613445e-05,1
body diabetic patients,4.557205797166198e-05,1
blood glucose blood,4.6394128376604537e-05,1
reiki healing techniques,4.6442596763242196e-05,1
blood sugar test,4.9723396780499886e-05,1
blood sugar hyperglycemia,5.055767876052052e-05,1
powerful healing techniques,5.3218473767939706e-05,0
patients bangalore india,5.692015581410628e-05,1
blood glucose control,6.031271742474571e-05,1
morning fast reading,6.415921128659451e-05,0
blood glucose high,6.652139695964645e-05,1
distant healing patient,6.723016172883974e-05,0
dealing diabetes diabetes,6.788909321913375e-05,1
mine blood sugar,6.992087931959498e-05,0
patients diabetic patients,7.250528134310711e-05,0
spike blood sugar,7.259914701245129e-05,1
blood sugar protection,7.259914701245129e-05,1
disease type diabetes,7.443504635488319e-05,1
diabetes emotional stress,7.483454759112298e-05,1
checking blood sugar,7.572124532510969e-05,1
patients heal patient,7.588959405373194e-05,0
type diabetes question,7.788834126546601e-05,0
diabetes home remedies,7.908438710883968e-05,0
healing techniques dear,8.318855060757356e-05,0
energy healing methods,8.419148949128798e-05,0
blood sugars edit,8.527515937592286e-05,0
rollercoaster blood sugar,8.527515937592286e-05,1
improving blood sugar,8.527515937592286e-05,0
patients mumbai india,8.745440089565598e-05,0
ancient powerful healing,8.90369581625988e-05,0
lymphatic system healing,9.073868118810738e-05,0
body nervous system,9.080191162809495e-05,0
healing healer vacancies,9.17237670626819e-05,0
high blood,9.237036824936141e-05,1
diabetes type dear,9.51119482445436e-05,1
diabetic patients healers,9.60753372718173e-05,1
eggs carbs sugar,9.719269545370538e-05,0
type diabetes find,9.858881670836344e-05,1
diabetic patients mumbai,0.000100397,1
long fiber foods,0.000100969,0
morning fasting reading,0.000102818,0
world healing center,0.000106364,0
cancer patients diabetic,0.000109635,1
meter maintenance wipe,0.000110779,0
high stress levels,0.00011127,0
world obesity congress,0.000112571,0
treating high blood,0.000113658,0
patients cancer patients,0.000117306,0
sugar levels,0.000118259,0
eat long fiber,0.000119708,0
type diabetes,0.000121807,1
life time challenges,0.000122936,0
diabetic patients exercise,0.00012314,1
blood glucose,0.000124193,1
diabetes glucose number,0.000126342,1
highly processed foods,0.000126652,1
diabetes care plan,0.000128881,1
mexican healing healer,0.000131284,0
reiki healing breast,0.00013202,0
lifethreatening high blood,0.000133537,0
roll call mine,0.000134448,0
blood glucose early,0.000136213,0
condition type diabetes,0.000137004,0
life time crisis,0.000137788,0
blood cells bone,0.000138109,0
move diabetes home,0.000139947,0
distant healing experience,0.000141792,0
toddlers type diabetes,0.00014415,1
immune system including,0.000144727,0
including healing thymus,0.000144769,0
glucose high levels,0.000145582,1
feel diabetes burnout,0.000146195,0
respiratory system including,0.000146547,0
congestion heal body,0.000146896,0
heal body temperature,0.000146896,0
depression diabetic patients,0.000147419,0
cancer patient based,0.00015165,1
low carb diet,0.000151812,0
glucose levels diet,0.000152805,1
diabetes care roll,0.000153888,0